x,y,z,pos
220,-13,1858,
192,-15,1850,
208,-10,1868,
209,-21,1853,
201,-15,1844,
202,-13,1851,
190,-4,1858,
198,-4,1856,
208,-11,1860,
208,-12,1844,
202,-2,1867,
206,-8,1856,
215,-5,1868,
222,-13,1841,
199,1,1869,
207,-11,1868,
206,-1,1859,
207,-8,1863,
211,-7,1868,
213,-5,1848,
211,-22,1866,
199,-2,1851,
209,-5,1855,
205,-1,1858,
209,-11,1853,
214,-4,1859,
202,-16,1861,
210,-2,1851,
212,-4,1859,
210,1,1856,
208,-8,1858,
215,-15,1858,
202,-11,1861,
206,-11,1849,
199,-9,1835,
214,-6,1853,
208,-1,1852,
214,2,1865,
207,-8,1860,
192,-3,1847,
452,-1747,-3190,TL
3142,242,5229,TL
-7205,-1012,-26294,TL
8045,1002,27624,TL
-3400,-317,16560,TL
-6994,4517,-9693,TL
5714,-2625,-15344,TL
5458,-2759,650,TL
-2899,4153,-7528,TL
-1580,-2692,238,TL
2840,-261,10698,TL
-1174,561,-7708,TL
-6172,-1642,9282,TL
2479,1360,19076,TL
1814,-1462,-6648,TL
-540,-524,-18688,TL
-1260,1067,14870,TL
1921,587,-291,TL
-2578,1711,-20445,TL
3290,-2154,8892,TL
3071,586,17864,TL
-3833,1249,-14539,TL
3190,-344,6376,TL
1585,-919,3551,TL
-1471,-30,-5522,TL
1924,576,3263,TL
-1928,-323,7787,TL
4114,-399,6652,TL
-431,473,-8414,TL
-1143,1084,-5507,TL
2288,1057,11042,TL
-1519,-242,-1933,TL
547,-616,10067,TL
-657,-802,-5067,TL
-170,1072,1587,TL
758,-471,1947,TL
893,-1292,2145,TL
-58,887,34,TL
-2407,-253,1708,TL
2737,-911,7705,TL
-190,702,-3133,TL
-36,69,-1460,TL
1607,63,6263,TL
-1008,457,1654,TL
487,-960,3329,TL
19,20,7856,TL
425,-405,468,TL
-142,-1141,-9493,TL
-442,712,4736,TL
828,-351,7148,TL
-987,494,-3716,TL
49,-12,178,TL
744,-712,2803,TL
236,99,4403,TL
-206,198,4709,TL
-99,1,554,TL
-117,-565,-1480,TL
1606,-488,2565,TL
98,271,2885,TL
-906,307,-102,TL
553,433,3317,TL
681,237,1056,TL
264,69,3841,TL
-171,574,304,TL
389,-603,416,TL
752,-724,1394,TL
-62,277,2266,TL
401,-216,4600,TL
-292,87,1443,TL
986,19,-1467,TL
-502,165,-1798,TL
469,126,7996,TL
297,-113,3796,TL
110,28,-309,TL
387,-55,2487,TL
-498,-110,667,TL
476,88,931,TL
248,-209,2690,TL
489,-206,5320,TL
23,479,-2770,TL
37,312,-1592,TL
976,-324,5601,TL
-227,296,686,TL
244,-292,480,TL
465,-717,3609,TL
554,78,2613,TL
-111,123,15,TL
102,-30,2250,TL
-99,25,1521,TL
336,361,3059,TL
-28,301,3267,TL
583,-318,1463,TL
-22,-72,-2273,TL
90,89,2003,TL
517,-399,6410,TL
-108,-47,2047,TL
233,-70,1213,TL
294,-301,-19,TL
257,14,1169,TL
-322,467,3010,TL
383,-149,4714,TL
749,-120,558,TL
-588,218,-1634,TL
387,-48,4605,TL
243,-372,2903,TL
440,-190,1169,TL
-24,71,1965,TL
22,-129,2530,TL
931,-248,697,TL
-11,301,50,TL
236,155,2732,TL
223,64,2579,TL
128,345,2707,TL
243,-249,2786,TL
131,-293,1191,TL
245,-223,384,TL
28,65,3814,TL
199,63,3784,TL
461,40,1612,TL
195,105,-280,TL
3,195,-150,TL
481,-180,2717,TL
118,121,3264,TL
3,67,2812,TL
210,-195,2097,TL
181,-130,412,TL
215,-199,1323,TL
143,45,2080,TL
465,3,2956,TL
139,89,1195,TL
-67,255,1258,TL
488,6,2387,TL
46,50,1356,TL
347,-123,2178,TL
154,-40,2369,TL
343,-27,2537,TL
104,-48,1791,TL
34,58,377,TL
336,-127,1368,TL
118,32,2570,TL
204,144,2930,TL
365,21,2063,TL
45,-15,466,TL
208,-43,1086,TL
212,36,2750,TL
241,-69,3561,TL
207,-175,2041,TL
97,49,38,TL
399,-42,2158,TL
11,137,2144,TL
110,131,2282,TL
400,-78,2457,TL
138,-92,1203,TL
196,-55,1302,TL
239,93,2218,TL
246,-157,2285,TL
213,-53,2026,TL
70,175,1533,TL
412,-95,2558,TL
258,25,1405,TL
3,144,50,TL
426,42,2699,TL
210,-36,3155,TL
223,-70,2078,TL
291,-21,768,TL
278,-185,1705,TL
89,35,1684,TL
205,181,2737,TL
351,-107,2936,TL
115,-21,674,TL
107,87,322,TL
384,-38,2632,TL
209,7,2917,TL
29,2,1824,TL
267,6,1708,TL
176,-126,1672,TL
233,-152,1767,TL
140,107,1284,TL
174,-42,2109,TL
347,-59,2645,TL
181,59,1563,TL
336,-62,1726,TL
230,-76,1577,TL
109,-68,1557,TL
263,15,2004,TL
176,17,2600,TL
277,-120,2333,TL
118,19,486,TL
217,6,1287,TL
318,-118,2600,TL
139,58,2400,TL
130,75,1847,TL
265,-34,1574,TL
132,-96,1431,TL
170,-68,1773,TL
359,-24,2449,TL
124,-100,2220,TL
159,33,1282,TL
146,31,1504,TL
362,-119,2287,TL
435,19,1433,MC
2569,-397,3956,MC
-3228,1610,-20268,MC
-1789,-2021,8064,MC
5008,-279,29973,MC
-3672,-1731,-12960,MC
-1439,-1158,3308,MC
2840,2330,5108,MC
-5618,-2820,-4654,MC
3331,2343,-8903,MC
-81,-782,-11104,MC
-2612,-2241,-3722,MC
1750,440,6922,MC
3211,1355,6624,MC
-1152,-1246,-4754,MC
-419,362,-6892,MC
319,1800,17058,MC
997,-735,8052,MC
-1919,-1742,-14616,MC
1293,-153,392,MC
1394,-1829,7085,MC
-83,759,-3451,MC
4991,-1262,4322,MC
-368,1259,3333,MC
-947,528,-3339,MC
-2254,-459,1819,MC
1713,57,12462,MC
1187,-954,7174,MC
-2747,-116,-9491,MC
1786,1288,-1956,MC
-734,-363,5244,MC
1103,68,11472,MC
254,1248,-1260,MC
175,-972,-7819,MC
-1804,283,5083,MC
675,-60,14339,MC
2947,-902,2080,MC
-737,488,-6382,MC
149,732,4723,MC
212,-704,1916,MC
1262,288,2850,MC
221,104,6647,MC
-874,355,-4780,MC
-954,407,-4714,MC
1916,-1197,8512,MC
986,633,5795,MC
-673,439,1103,MC
-447,-480,-3729,MC
1062,-676,3173,MC
1407,-76,7149,MC
-1148,671,-1944,MC
-449,-271,-3027,MC
780,-270,-276,MC
209,536,6974,MC
247,52,2961,MC
-25,306,-747,MC
-108,81,-1774,MC
141,-992,4410,MC
1217,-161,7251,MC
-1149,4,-868,MC
73,-467,-2654,MC
598,294,989,MC
634,540,3422,MC
-793,1056,3624,MC
193,-78,4885,MC
883,-443,-1395,MC
-804,98,-2469,MC
-169,-623,8047,MC
1062,-382,4660,MC
427,-272,-3189,MC
161,35,-44,MC
469,104,4945,MC
213,263,-117,MC
313,370,1683,MC
-389,-10,1686,MC
242,-238,3367,MC
513,-108,3871,MC
72,-553,2419,MC
1176,-356,1131,MC
-524,181,-2043,MC
-169,-191,3661,MC
739,92,5025,MC
421,497,1606,MC
987,364,-391,MC
-490,20,-2748,MC
337,183,4449,MC
1275,-246,7478,MC
-467,-202,284,MC
789,-767,-315,MC
-85,-382,866,MC
-97,204,4277,MC
332,153,1879,MC
393,207,541,MC
178,318,792,MC
10,174,2857,MC
692,57,3131,MC
77,-141,1898,MC
149,-465,1229,MC
-54,-174,1132,MC
515,-68,3370,MC
-43,-37,2810,MC
459,110,756,MC
187,180,-2664,MC
131,470,2937,MC
444,75,3384,MC
304,-151,371,MC
121,-165,254,MC
-58,-184,1793,MC
666,-286,4411,MC
122,73,2287,MC
-64,-61,1102,MC
141,67,-649,MC
117,411,1111,MC
625,-11,3906,MC
-248,234,2543,MC
463,9,1307,MC
-57,-172,740,MC
324,-276,3460,MC
237,-245,2780,MC
210,-113,1146,MC
-66,30,386,MC
275,185,2620,MC
294,266,2595,MC
210,200,1629,MC
85,106,73,MC
51,-57,2227,MC
494,-171,4972,MC
30,-180,1608,MC
195,-216,1342,MC
237,-115,539,MC
-70,41,1044,MC
575,197,3728,MC
166,292,2493,MC
356,102,429,MC
-38,225,-257,MC
457,-100,3270,MC
119,-86,2129,MC
312,-230,1782,MC
253,-223,958,MC
-65,78,1276,MC
471,43,2777,MC
222,118,1890,MC
165,139,797,MC
169,152,1218,MC
295,86,3096,MC
275,-68,2469,MC
94,-184,1428,MC
306,-52,1563,MC
26,-208,1344,MC
358,-97,2956,MC
233,25,2196,MC
182,-9,1397,MC
224,104,360,MC
256,102,2670,MC
284,40,3297,MC
170,-17,2149,MC
393,-202,1114,MC
-102,-72,364,MC
290,-162,3036,MC
407,-107,3124,MC
-73,92,1046,MC
320,-20,1003,MC
103,88,1219,MC
357,81,2696,MC
67,9,1858,MC
202,31,2101,MC
232,-162,1586,MC
82,-106,1769,MC
298,-142,2721,MC
227,-46,1545,MC
15,28,878,MC
227,53,2082,MC
329,48,2908,MC
51,98,1508,MC
275,-55,965,MC
155,-48,1554,MC
260,-104,3160,MC
238,-119,2475,MC
149,-57,1562,MC
315,-116,993,MC
28,47,1361,MC
281,36,2567,MC
392,40,2402,MC
100,88,1427,MC
207,-26,1114,MC
249,-10,1747,MC
242,-63,2552,MC
188,-110,1807,MC
268,-64,1501,MC
145,-3,1388,MC
302,-9,2521,MC
173,82,1603,MC
286,77,1512,MC
134,-5,1645,MC
